state,source,scrape_ts,game_number,game_name,price,overall_odds_1_in,top_prize_amount,top_prizes_remaining,all_prizes_remaining,status,detail_url,prize_data,true_ev
NY,lottery_net,2026-01-19T00:25:59.157536+00:00,1630,Money Rush,5.0,4.6,500000.0,,1,active,https://scratchcards.net/new-york/1630,[],
NY,lottery_net,2026-01-19T00:25:59.157544+00:00,1631,Multiply Your Numbers,3.0,4.12,60000.0,,1,active,https://scratchcards.net/new-york/1631,[],
NY,lottery_net,2026-01-19T00:25:59.157552+00:00,1629,"$100, $200 0R $500",30.0,6.25,500.0,,1041,active,https://scratchcards.net/new-york/1629,[],
NY,lottery_net,2026-01-19T00:25:59.157560+00:00,1635,Holiday Riches,5.0,3.95,500000.0,,1,active,https://scratchcards.net/new-york/1635,[],
NY,lottery_net,2026-01-19T00:25:59.157568+00:00,1638,Bonus 5X,1.0,4.8,5000.0,,1,active,https://scratchcards.net/new-york/1638,[],
NY,lottery_net,2026-01-19T00:25:59.157576+00:00,1637,"$500,000 Year Of The Snake",5.0,4.02,500000.0,,0,active,https://scratchcards.net/new-york/1637,[],
NY,lottery_net,2026-01-19T00:25:59.157584+00:00,1640,Bonus 50X,10.0,3.92,150.0,,2,active,https://scratchcards.net/new-york/1640,[],
NY,lottery_net,2026-01-19T00:25:59.157592+00:00,1641,Bonus 20X,5.0,4.1,50.0,,1,active,https://scratchcards.net/new-york/1641,[],
NY,lottery_net,2026-01-19T00:25:59.157600+00:00,1642,Bonus 10X,2.0,4.79,25000.0,,0,active,https://scratchcards.net/new-york/1642,[],
NY,lottery_net,2026-01-19T00:25:59.157616+00:00,1643,Bonus 100X,20.0,3.66,250.0,,2,active,https://scratchcards.net/new-york/1643,[],
NY,lottery_net,2026-01-19T00:25:59.157624+00:00,1645,Bonus 15X Cashword,3.0,4.12,60000.0,,0,active,https://scratchcards.net/new-york/1645,[],
NY,lottery_net,2026-01-19T00:25:59.157632+00:00,1644,Lucky Cash,5.0,4.13,500000.0,,0,active,https://scratchcards.net/new-york/1644,[],
NY,lottery_net,2026-01-19T00:25:59.157640+00:00,1646,$50 Or $100,10.0,8.33,100.0,,1889,active,https://scratchcards.net/new-york/1646,[],
NY,lottery_net,2026-01-19T00:25:59.157648+00:00,1647,Bingo Multiplier,5.0,4.28,300000.0,,0,active,https://scratchcards.net/new-york/1647,[],
NY,lottery_net,2026-01-19T00:25:59.157656+00:00,1648,3-2-Won!,1.0,4.89,3000.0,,6,active,https://scratchcards.net/new-york/1648,[],
NY,lottery_net,2026-01-19T00:25:59.157664+00:00,1654,Money Match,10.0,4.01,150.0,,1,active,https://scratchcards.net/new-york/1654,[],
NY,lottery_net,2026-01-19T00:25:59.157673+00:00,1655,"$1,000,000 Gold",5.0,4.44,50.0,,2,active,https://scratchcards.net/new-york/1655,[],
NY,lottery_net,2026-01-19T00:25:59.157681+00:00,1656,Unlock It!,3.0,3.92,60000.0,,1,active,https://scratchcards.net/new-york/1656,[],
NY,lottery_net,2026-01-19T00:25:59.157689+00:00,1658,"$500,000 Match To Win",5.0,4.16,500000.0,,1,active,https://scratchcards.net/new-york/1658,[],
NY,lottery_net,2026-01-19T00:25:59.157697+00:00,1659,Triple Match,1.0,4.98,3000.0,,8,active,https://scratchcards.net/new-york/1659,[],
NY,lottery_net,2026-01-19T00:25:59.157705+00:00,1657,Win Either $100 Or $200!,20.0,8.0,200.0,,67282,active,https://scratchcards.net/new-york/1657,[],
NY,lottery_net,2026-01-19T00:25:59.157721+00:00,1652,Blackjack Doubler,2.0,4.8,21000.0,,0,active,https://scratchcards.net/new-york/1652,[],
NY,lottery_net,2026-01-19T00:25:59.157729+00:00,1651,New York Millionaire,5.0,4.44,50.0,,1,active,https://scratchcards.net/new-york/1651,[],
NY,lottery_net,2026-01-19T00:25:59.157737+00:00,1650,Ultimate Cash,30.0,3.64,500.0,,2,active,https://scratchcards.net/new-york/1650,[],
NY,lottery_net,2026-01-19T00:25:59.157745+00:00,1653,Lucky 7'S,1.0,4.96,7000.0,,7,active,https://scratchcards.net/new-york/1653,[],
NY,lottery_net,2026-01-19T00:25:59.157753+00:00,1661,Casino Nights,5.0,4.44,500000.0,,1,active,https://scratchcards.net/new-york/1661,[],
NY,lottery_net,2026-01-19T00:25:59.157761+00:00,1662,Cashword Extra!,3.0,4.06,60000.0,,2,active,https://scratchcards.net/new-york/1662,[],
NY,lottery_net,2026-01-19T00:25:59.157769+00:00,1660,Bonus Bucks,10.0,3.86,150.0,,2,active,https://scratchcards.net/new-york/1660,[],
NY,lottery_net,2026-01-19T00:25:59.157777+00:00,1666,"$1,000,000 Bonus Cashword",10.0,4.32,50.0,,3,active,https://scratchcards.net/new-york/1666,[],
NY,lottery_net,2026-01-19T00:25:59.157785+00:00,1663,Mystery Multiplier,20.0,3.67,250.0,,3,active,https://scratchcards.net/new-york/1663,[],
NY,lottery_net,2026-01-19T00:25:59.157793+00:00,1664,Winning Streak 25X,5.0,4.29,500000.0,,1,active,https://scratchcards.net/new-york/1664,[],
NY,lottery_net,2026-01-19T00:25:59.157801+00:00,1665,9S In A Line Doubler,1.0,4.91,999.0,,6,active,https://scratchcards.net/new-york/1665,[],
NY,lottery_net,2026-01-19T00:25:59.157809+00:00,1667,"$3,000,000 Ca$H",10.0,4.02,150.0,,2,active,https://scratchcards.net/new-york/1667,[],
NY,lottery_net,2026-01-19T00:25:59.157817+00:00,1668,More Money,5.0,4.42,50.0,,0,active,https://scratchcards.net/new-york/1668,[],
NY,lottery_net,2026-01-19T00:25:59.157825+00:00,1669,"$25,000 Extra Ca$H",2.0,4.8,25000.0,,8,active,https://scratchcards.net/new-york/1669,[],
NY,lottery_net,2026-01-19T00:25:59.157841+00:00,1686,"$10,000 A Week For Life",20.0,3.72,10000.0,,3,active,https://scratchcards.net/new-york/1686,[],
