state,source,scrape_ts,game_number,game_name,price,overall_odds_1_in,top_prize_amount,top_prizes_remaining,all_prizes_remaining,status,detail_url,prize_data,true_ev
NJ,lottery_net,2026-01-19T01:17:07.333202+00:00,1750,Triple Double Diamond,5.0,4.11,200000.0,,1,active,https://scratchcards.net/new-jersey/1750,"[{'prize': 200000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 5000.0, 'remaining': 2, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 19, 'is_ticket': False}, {'prize': 500.0, 'remaining': 122, 'is_ticket': False}, {'prize': 100.0, 'remaining': 1, 'is_ticket': False}, {'prize': 50.0, 'remaining': 15, 'is_ticket': False}, {'prize': 20.0, 'remaining': 49, 'is_ticket': False}, {'prize': 15.0, 'remaining': 26, 'is_ticket': False}, {'prize': 10.0, 'remaining': 145, 'is_ticket': False}, {'prize': 0.0, 'remaining': 101, 'is_ticket': True}]",651.0914760914761
NJ,lottery_net,2026-01-19T01:17:07.333240+00:00,1779,Wild Cash Multiplier,5.0,4.07,200000.0,,1,active,https://scratchcards.net/new-jersey/1779,"[{'prize': 200000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 11, 'is_ticket': False}, {'prize': 500.0, 'remaining': 86, 'is_ticket': False}, {'prize': 200.0, 'remaining': 319, 'is_ticket': False}, {'prize': 100.0, 'remaining': 1, 'is_ticket': False}, {'prize': 60.0, 'remaining': 1, 'is_ticket': False}, {'prize': 50.0, 'remaining': 15, 'is_ticket': False}, {'prize': 45.0, 'remaining': 8, 'is_ticket': False}, {'prize': 20.0, 'remaining': 81, 'is_ticket': False}, {'prize': 10.0, 'remaining': 144, 'is_ticket': False}, {'prize': 0.0, 'remaining': 156, 'is_ticket': True}]",405.72296476306195
NJ,lottery_net,2026-01-19T01:17:07.333257+00:00,1780,Power 50X,30.0,3.76,3000000.0,,1,active,https://scratchcards.net/new-jersey/1780,"[{'prize': 3000000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 50000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 2, 'is_ticket': False}, {'prize': 5000.0, 'remaining': 26, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 88, 'is_ticket': False}, {'prize': 1500.0, 'remaining': 104, 'is_ticket': False}, {'prize': 500.0, 'remaining': 5, 'is_ticket': False}, {'prize': 250.0, 'remaining': 8, 'is_ticket': False}, {'prize': 200.0, 'remaining': 16, 'is_ticket': False}, {'prize': 100.0, 'remaining': 53, 'is_ticket': False}, {'prize': 50.0, 'remaining': 120, 'is_ticket': False}, {'prize': 0.0, 'remaining': 82, 'is_ticket': True}]",7022.648221343874
NJ,lottery_net,2026-01-19T01:17:07.333269+00:00,1785,Power 10X,10.0,3.74,500000.0,,0,active,https://scratchcards.net/new-jersey/1785,"[{'prize': 500000.0, 'remaining': 0, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 2, 'is_ticket': False}, {'prize': 1000.0, 'remaining': 7, 'is_ticket': False}, {'prize': 500.0, 'remaining': 639, 'is_ticket': False}, {'prize': 200.0, 'remaining': 2, 'is_ticket': False}, {'prize': 100.0, 'remaining': 37, 'is_ticket': False}, {'prize': 50.0, 'remaining': 47, 'is_ticket': False}, {'prize': 40.0, 'remaining': 50, 'is_ticket': False}, {'prize': 20.0, 'remaining': 138, 'is_ticket': False}, {'prize': 0.0, 'remaining': 279, 'is_ticket': True}]",300.16652789342214
NJ,lottery_net,2026-01-19T01:17:07.333281+00:00,1786,Power 20X,20.0,3.93,1000000.0,,0,active,https://scratchcards.net/new-jersey/1786,"[{'prize': 1000000.0, 'remaining': 0, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 10, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 67, 'is_ticket': False}, {'prize': 500.0, 'remaining': 4, 'is_ticket': False}, {'prize': 200.0, 'remaining': 17, 'is_ticket': False}, {'prize': 100.0, 'remaining': 51, 'is_ticket': False}, {'prize': 50.0, 'remaining': 70, 'is_ticket': False}, {'prize': 30.0, 'remaining': 70, 'is_ticket': False}, {'prize': 0.0, 'remaining': 141, 'is_ticket': True}]",588.1860465116279
NJ,lottery_net,2026-01-19T01:17:07.333292+00:00,1789,Cash Climb,2.0,4.54,10000.0,,2,active,https://scratchcards.net/new-jersey/1789,"[{'prize': 10000.0, 'remaining': 2, 'is_ticket': False}, {'prize': 1000.0, 'remaining': 9, 'is_ticket': False}, {'prize': 100.0, 'remaining': 582, 'is_ticket': False}, {'prize': 50.0, 'remaining': 2, 'is_ticket': False}, {'prize': 40.0, 'remaining': 2, 'is_ticket': False}, {'prize': 20.0, 'remaining': 22, 'is_ticket': False}, {'prize': 10.0, 'remaining': 37, 'is_ticket': False}, {'prize': 5.0, 'remaining': 52, 'is_ticket': False}, {'prize': 4.0, 'remaining': 61, 'is_ticket': False}, {'prize': 0.0, 'remaining': 160, 'is_ticket': True}]",95.81700753498386
NJ,lottery_net,2026-01-19T01:17:07.333303+00:00,1792,The Bigger Spin,10.0,4.04,,,3,active,https://scratchcards.net/new-jersey/1792,"[{'prize': 0.0, 'remaining': 3, 'is_ticket': False}, {'prize': 300000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 5, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 25, 'is_ticket': False}, {'prize': 500.0, 'remaining': 839, 'is_ticket': False}, {'prize': 200.0, 'remaining': 1, 'is_ticket': False}, {'prize': 100.0, 'remaining': 25, 'is_ticket': False}, {'prize': 50.0, 'remaining': 65, 'is_ticket': False}, {'prize': 30.0, 'remaining': 66, 'is_ticket': False}, {'prize': 20.0, 'remaining': 133, 'is_ticket': False}, {'prize': 0.0, 'remaining': 202, 'is_ticket': True}]",609.6043956043956
NJ,lottery_net,2026-01-19T01:17:07.333315+00:00,1797,"$1,000,000 Diamond Spectacula",20.0,3.89,1000000.0,,0,active,https://scratchcards.net/new-jersey/1797,"[{'prize': 1000000.0, 'remaining': 0, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 10, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 85, 'is_ticket': False}, {'prize': 500.0, 'remaining': 6, 'is_ticket': False}, {'prize': 200.0, 'remaining': 9, 'is_ticket': False}, {'prize': 100.0, 'remaining': 68, 'is_ticket': False}, {'prize': 50.0, 'remaining': 219, 'is_ticket': False}, {'prize': 0.0, 'remaining': 98, 'is_ticket': True}, {'prize': 0.0, 'remaining': 100, 'is_ticket': True}]",498.33613445378154
NJ,lottery_net,2026-01-19T01:17:07.333325+00:00,1801,"Ultimate $1,000,000 Spectacul",30.0,3.62,1000000.0,,1,active,https://scratchcards.net/new-jersey/1801,"[{'prize': 1000000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 50000.0, 'remaining': 1, 'is_ticket': False}, {'prize': 10000.0, 'remaining': 2, 'is_ticket': False}, {'prize': 5000.0, 'remaining': 11, 'is_ticket': False}, {'prize': 2000.0, 'remaining': 36, 'is_ticket': False}, {'prize': 500.0, 'remaining': 4, 'is_ticket': False}, {'prize': 250.0, 'remaining': 9, 'is_ticket': False}, {'prize': 200.0, 'remaining': 9, 'is_ticket': False}, {'prize': 100.0, 'remaining': 44, 'is_ticket': False}, {'prize': 50.0, 'remaining': 112, 'is_ticket': False}, {'prize': 0.0, 'remaining': 72, 'is_ticket': True}]",4037.2425249169437
NJ,lottery_net,2026-01-19T01:17:07.333335+00:00,1809,"$2,000 Loaded",2.0,4.67,2000.0,,38,active,https://scratchcards.net/new-jersey/1809,"[{'prize': 2000.0, 'remaining': 38, 'is_ticket': False}, {'prize': 500.0, 'remaining': 20, 'is_ticket': False}, {'prize': 100.0, 'remaining': 347, 'is_ticket': False}, {'prize': 50.0, 'remaining': 2, 'is_ticket': False}, {'prize': 20.0, 'remaining': 29, 'is_ticket': False}, {'prize': 10.0, 'remaining': 19, 'is_ticket': False}, {'prize': 5.0, 'remaining': 52, 'is_ticket': False}, {'prize': 4.0, 'remaining': 43, 'is_ticket': False}, {'prize': 0.0, 'remaining': 136, 'is_ticket': True}]",178.24198250728864
